,resolution,horizon,mse,mae,r2,test_mean
0,2,1,103281.04459197991,233.4060108263378,0.9458283708335279,2387.9719679633868
1,2,2,381928.9746509414,439.8978263104262,0.9487002656199364,4771.984553775744
2,2,6,3685466.9602833516,1403.8835752299503,0.9303316850604368,14294.775171624715
3,2,24,30110246.443516817,4075.6676357801775,0.8022177884761097,57704.2442791762
4,4,1,29696.629682461444,68.56225214503084,0.977985906216195,607.6196880812706
5,4,2,110208.19630728454,138.3992880754485,0.9792372229881484,1212.9997138360281
6,4,6,861467.8685743472,393.27890875542823,0.9808261768004857,3630.972385176706
7,4,24,8173153.739021808,1207.2613956337068,0.9856684531160738,14618.511947345829
8,5,1,10058.216987823895,42.66344694109464,0.9807275119882415,298.9394763199313
9,5,2,37729.8957192324,76.27944572325563,0.9815953024385159,595.2068965517242
10,5,6,444699.35212195845,256.8203612264432,0.9740323015324552,1775.565603090571
11,5,24,3408629.2701518657,748.2481261306369,0.9842886508679349,7162.740020031478
12,6,1,3005.35526037528,15.109213447755268,0.9793612902398424,89.32218335983042
13,6,2,11449.826553029878,30.55887427779563,0.9801151191590124,178.53426603073663
14,6,6,120237.73551424521,82.8945710761369,0.9753962906432735,535.6193322734499
15,6,24,822478.4320097455,245.74613052239795,0.9866253398849041,2146.8717117117117
16,7,1,542.4993974605229,8.470080986385778,0.9693906272892249,21.979145854145855
17,7,2,2186.715293962037,12.227530120143465,0.9688036831441805,43.922842782217785
18,7,6,11229.297754153713,48.413988713024956,0.9809332709135005,131.0277482933733
19,7,24,225692.56591036016,143.31784538326266,0.968309945744678,515.4386238761239
20,8,1,87.21414551257512,3.2463315219133353,0.9549442768977731,7.141330330209007
21,8,2,278.571191838867,3.8043441618873985,0.9633099464276348,14.275694893341953
22,8,6,2511.983192457695,19.540094471863473,0.9601544205555087,42.85626245690584
23,8,24,28516.559233727112,42.709626059050485,0.9621755758022984,171.4694334464555
24,0,1,54.45107378968164,2.457050270805107,0.9460439877468612,5.092287208405629
25,0,2,174.97088990680652,5.472918348154259,0.9556469887967077,10.173814343551186
26,0,6,1234.1536690512519,10.637312026415254,0.9617738675629772,30.526198910738383
27,0,24,12981.034166485204,25.226799029209538,0.9646492301579527,121.56533159822634
