time,temp,dew_point,humidity,wind,wind_speed,wind_gust,pressure,precip,condition,date
1:53 AM,25ʡF,18ʡF,75ʡ%,W,3ʡmph,0ʡmph,29.33ʡin,0.0ʡin,Fair,1.1.2017
2:53 AM,25ʡF,18ʡF,75ʡ%,CALM,0ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Fair,1.1.2017
3:53 AM,25ʡF,19ʡF,78ʡ%,SSW,5ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Fair,1.1.2017
4:53 AM,24ʡF,18ʡF,77ʡ%,SSW,7ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Fair,1.1.2017
5:53 AM,22ʡF,17ʡF,82ʡ%,SSW,6ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Fair,1.1.2017
6:53 AM,22ʡF,17ʡF,82ʡ%,SSW,7ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy,1.1.2017
7:53 AM,22ʡF,17ʡF,82ʡ%,SSW,8ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,1.1.2017
8:53 AM,22ʡF,17ʡF,82ʡ%,WSW,5ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,1.1.2017
9:53 AM,26ʡF,20ʡF,78ʡ%,SSW,3ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,1.1.2017
10:53 AM,30ʡF,21ʡF,69ʡ%,NNW,5ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,1.1.2017
11:53 AM,33ʡF,21ʡF,61ʡ%,S,7ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Fair,1.1.2017
12:53 PM,36ʡF,20ʡF,52ʡ%,SSW,10ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair,1.1.2017
1:53 PM,37ʡF,21ʡF,52ʡ%,S,10ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,1.1.2017
2:53 PM,39ʡF,19ʡF,45ʡ%,SSW,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,1.1.2017
3:53 PM,39ʡF,19ʡF,45ʡ%,S,7ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Partly Cloudy,1.1.2017
4:53 PM,40ʡF,18ʡF,41ʡ%,CALM,0ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,1.1.2017
5:53 PM,38ʡF,18ʡF,44ʡ%,CALM,0ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Cloudy,1.1.2017
6:53 PM,38ʡF,19ʡF,47ʡ%,CALM,0ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Cloudy,1.1.2017
7:53 PM,36ʡF,20ʡF,52ʡ%,E,5ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Mostly Cloudy,1.1.2017
8:53 PM,35ʡF,21ʡF,57ʡ%,E,8ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Mostly Cloudy,1.1.2017
9:53 PM,35ʡF,23ʡF,61ʡ%,E,9ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Cloudy,1.1.2017
10:53 PM,34ʡF,23ʡF,64ʡ%,E,7ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Cloudy,1.1.2017
11:53 PM,35ʡF,24ʡF,64ʡ%,ENE,7ʡmph,0ʡmph,29.48ʡin,0.0ʡin,Cloudy,1.1.2017
12:53 AM,33ʡF,24ʡF,70ʡ%,ENE,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Partly Cloudy,1.1.2017
1:53 AM,33ʡF,25ʡF,72ʡ%,E,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,2.1.2017
2:53 AM,32ʡF,24ʡF,73ʡ%,E,6ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair,2.1.2017
