date,time,temp,dew_point,humidity,wind_speed,wind_gust,pressure,precip,condition,date_time
2017-01-01,00:53,33ʡF,24ʡF,70ʡ%,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Partly Cloudy,2017-01-01 00:53:00
2017-01-01,01:53,25ʡF,18ʡF,75ʡ%,3ʡmph,0ʡmph,29.33ʡin,0.0ʡin,Fair,2017-01-01 01:53:00
2017-01-01,02:53,25ʡF,18ʡF,75ʡ%,0ʡmph,0ʡmph,29.34ʡin,0.0ʡin,Fair,2017-01-01 02:53:00
2017-01-01,03:53,25ʡF,19ʡF,78ʡ%,5ʡmph,0ʡmph,29.36ʡin,0.0ʡin,Fair,2017-01-01 03:53:00
2017-01-01,04:53,24ʡF,18ʡF,77ʡ%,7ʡmph,0ʡmph,29.37ʡin,0.0ʡin,Fair,2017-01-01 04:53:00
2017-01-01,05:53,22ʡF,17ʡF,82ʡ%,6ʡmph,0ʡmph,29.39ʡin,0.0ʡin,Fair,2017-01-01 05:53:00
2017-01-01,06:53,22ʡF,17ʡF,82ʡ%,7ʡmph,0ʡmph,29.41ʡin,0.0ʡin,Cloudy,2017-01-01 06:53:00
2017-01-01,07:53,22ʡF,17ʡF,82ʡ%,8ʡmph,0ʡmph,29.43ʡin,0.0ʡin,Cloudy,2017-01-01 07:53:00
2017-01-01,08:53,22ʡF,17ʡF,82ʡ%,5ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,2017-01-01 08:53:00
2017-01-01,09:53,26ʡF,20ʡF,78ʡ%,3ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,2017-01-01 09:53:00
2017-01-01,10:53,30ʡF,21ʡF,69ʡ%,5ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,2017-01-01 10:53:00
2017-01-01,11:53,33ʡF,21ʡF,61ʡ%,7ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Fair,2017-01-01 11:53:00
2017-01-01,12:53,36ʡF,20ʡF,52ʡ%,10ʡmph,0ʡmph,29.47ʡin,0.0ʡin,Fair,2017-01-01 12:53:00
2017-01-01,13:53,37ʡF,21ʡF,52ʡ%,10ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,2017-01-01 13:53:00
2017-01-01,14:53,39ʡF,19ʡF,45ʡ%,8ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Fair,2017-01-01 14:53:00
2017-01-01,15:53,39ʡF,19ʡF,45ʡ%,7ʡmph,0ʡmph,29.45ʡin,0.0ʡin,Partly Cloudy,2017-01-01 15:53:00
2017-01-01,16:53,40ʡF,18ʡF,41ʡ%,0ʡmph,0ʡmph,29.44ʡin,0.0ʡin,Cloudy,2017-01-01 16:53:00
2017-01-01,17:53,38ʡF,18ʡF,44ʡ%,0ʡmph,0ʡmph,29.46ʡin,0.0ʡin,Cloudy,2017-01-01 17:53:00
2017-01-01,18:53,38ʡF,19ʡF,47ʡ%,0ʡmph,0ʡmph,29.49ʡin,0.0ʡin,Cloudy,2017-01-01 18:53:00
2017-01-01,19:53,36ʡF,20ʡF,52ʡ%,5ʡmph,0ʡmph,29.50ʡin,0.0ʡin,Mostly Cloudy,2017-01-01 19:53:00
