,id,catering,transportation,entertainment,healthcare
0,872664d88ffffff,65,17,21,5
1,872664ca8ffffff,40,15,14,0
2,872664c86ffffff,3,18,0,0
3,872664d83ffffff,14,0,1,0
4,872664cc8ffffff,8,0,1,3
5,872664ca4ffffff,42,5,14,1
6,872664d8cffffff,68,11,21,3
7,872664cf0ffffff,21,3,7,1
8,8726641b2ffffff,0,4,1,0
9,872664cabffffff,9,2,4,2
10,872664cc4ffffff,25,3,5,2
11,872664cacffffff,192,62,48,9
12,872664c1bffffff,27,13,16,2
13,87275936dffffff,11,1,4,1
14,872664520ffffff,4,1,2,0
15,872664d9effffff,2,1,0,0
16,872664ca3ffffff,20,6,6,4
17,872664c84ffffff,5,9,0,1
18,872664c13ffffff,121,16,43,9
19,87275934dffffff,5,0,0,0
20,872664d99ffffff,15,9,2,3
21,87266452dffffff,2,2,1,0
22,872664ca1ffffff,138,11,47,9
23,872664c10ffffff,178,24,43,11
24,872664ceaffffff,20,3,4,0
25,872664cc5ffffff,45,11,5,3
26,872664196ffffff,0,0,0,0
27,872664cb5ffffff,15,10,5,2
28,872664ca5ffffff,41,3,20,5
29,872664ccbffffff,0,0,0,0
30,872664cf4ffffff,86,6,17,1
31,872664ca2ffffff,12,31,0,1
32,872664cd6ffffff,13,2,6,1
33,872759369ffffff,5,1,1,0
34,872664cb0ffffff,19,2,6,3
35,872664564ffffff,2,0,0,0
36,872664570ffffff,3,0,3,1
37,872664cb4ffffff,10,0,2,2
38,872664cc3ffffff,5,2,1,0
39,872664d89ffffff,81,33,12,8
40,872664c14ffffff,1,3,0,0
41,872664d98ffffff,8,0,0,3
42,872664cd2ffffff,23,33,6,0
43,872664d8dffffff,0,2,1,0
44,872664c81ffffff,1,2,1,0
45,872664ca6ffffff,36,22,18,15
46,872664c1effffff,507,88,120,19
47,872664c16ffffff,155,195,79,10
48,872664cf6ffffff,43,9,7,5
49,872664d8affffff,31,3,4,1
50,872664d9bffffff,14,4,9,3
51,872664ca0ffffff,45,22,30,2
52,872664c8dffffff,7,2,3,5
53,872664cc9ffffff,2,0,0,0
54,87275936bffffff,8,1,2,0
55,872664cddffffff,11,2,0,0
56,872664d9affffff,10,1,4,4
57,872664cadffffff,182,9,47,2
58,872664d8bffffff,119,21,32,8
59,872664caaffffff,3,8,1,2
60,87266452cffffff,9,3,0,1
61,872664cccffffff,5,0,0,0
62,872664cc2ffffff,6,2,0,2
63,872664d8effffff,29,3,3,0
64,872664521ffffff,5,95,2,0
65,872664cd1ffffff,3,0,1,0
66,872664ce2ffffff,7,0,1,1
67,872664cd0ffffff,6,0,1,0
68,87275934effffff,70,285,12,1
69,872664ccdffffff,7,2,0,1
70,872664ca9ffffff,50,4,7,4
71,872664cd9ffffff,1,1,0,0
72,872664560ffffff,3,1,0,1
73,872664cf2ffffff,6,1,2,0
74,872664575ffffff,6,2,5,0
75,872664c11ffffff,2,2,0,0
76,872664cd8ffffff,1,2,1,0
77,872664191ffffff,0,1,0,0
78,872664ccaffffff,0,5,0,0
79,872664c80ffffff,2,7,1,0
80,872664cd3ffffff,1,0,0,0
81,872664525ffffff,5,21,2,2
82,872664ce3ffffff,45,3,5,2
83,872759343ffffff,19,186,4,0
84,872664cc0ffffff,7,3,2,0
85,872664cb3ffffff,5,3,4,0
86,872664cf1ffffff,5,3,4,0
87,872664cceffffff,4,0,3,0
88,872664cb1ffffff,12,21,4,1
89,872664cd4ffffff,5,3,2,1
90,872664c85ffffff,2,0,0,0
91,872664cdeffffff,2,0,0,0
92,872664cdbffffff,16,3,0,1
93,872664561ffffff,0,1,0,0
94,872664c8bffffff,2,0,0,0
95,872664cf5ffffff,25,11,4,1
96,872664c83ffffff,15,15,5,0
97,872664528ffffff,12,0,0,2
98,872664c8cffffff,7,5,1,7
99,872664d9dffffff,13,0,1,1
100,872664cc6ffffff,5,1,0,2
101,872664c1affffff,419,159,53,20
102,872664d81ffffff,15,7,4,2
103,872664566ffffff,3,1,0,1
104,872664cf3ffffff,6,0,3,2
105,872664c12ffffff,67,11,35,4
106,872664562ffffff,6,4,2,0
107,872664caeffffff,33,3,11,1
108,872759340ffffff,2,23,0,0
109,872664c89ffffff,1,0,0,0
