,id,catering,transportation,entertainment,healthcare
0,892664d8973ffff,8,12,0,0
1,892664ca0abffff,1,1,0,0
2,892664c10cbffff,9,4,0,0
3,892664c162fffff,0,0,0,0
4,892664d8e37ffff,0,3,0,0
5,892664ca40fffff,0,0,0,0
6,892664cf003ffff,1,0,0,0
7,892664cad77ffff,5,0,0,0
8,892664c104fffff,0,0,2,0
9,892664c1217ffff,2,0,2,0
10,892664c13dbffff,3,1,1,1
11,892664ca507ffff,0,0,0,0
12,892664ca1a3ffff,2,0,1,0
13,892664d8b6bffff,1,0,0,0
14,892664c814bffff,0,0,0,0
15,892664cea0bffff,0,0,0,0
16,892664c1ecfffff,0,0,0,0
17,892664c1ea7ffff,3,1,0,0
18,892664d883bffff,7,3,2,2
19,892664cac37ffff,3,0,0,0
20,892664cc203ffff,0,0,0,0
21,892664d9e77ffff,0,0,0,0
22,892664cc4a7ffff,7,0,1,0
23,892664c8cabffff,0,0,0,0
24,892664c1e73ffff,24,4,7,0
25,892664c1b6fffff,0,2,1,0
26,892664ca013ffff,0,0,0,0
27,892664c1383ffff,1,0,2,0
28,892664ccd9bffff,0,0,0,0
29,892664d9d77ffff,0,0,0,0
30,892664cb527ffff,0,0,0,0
31,892664d9b27ffff,0,0,2,0
32,89266452d53ffff,0,0,0,0
33,892664cc5abffff,0,0,0,0
34,892664c1ed7ffff,4,0,1,1
35,892664c1007ffff,1,3,0,0
36,892664cf33bffff,1,0,0,0
37,892664cb057ffff,0,0,0,0
38,892664d9a37ffff,0,0,0,1
39,892664d98cfffff,0,0,0,0
40,892664c105bffff,7,1,2,0
41,892664cac17ffff,8,6,1,1
42,892664cd973ffff,0,0,0,0
43,892664c1077ffff,17,0,2,0
44,892664cb387ffff,0,0,0,0
45,892664caedbffff,0,2,0,0
46,892664cb3a3ffff,0,0,0,0
47,892664caddbffff,2,0,0,0
48,892664cc5d7ffff,2,0,0,0
49,892664ca8b7ffff,0,0,1,0
50,89266419493ffff,0,0,0,0
51,892664d88b3ffff,1,0,0,0
52,892664d8c17ffff,2,0,1,0
53,892664d8b4fffff,0,0,0,0
54,892664ce2cfffff,0,0,0,1
55,892664cb03bffff,0,0,0,0
56,892664cf0a7ffff,0,0,0,0
57,892664c1e4fffff,5,0,1,1
58,892664c116fffff,0,0,0,0
59,892664ca027ffff,1,1,1,0
60,892664d8b9bffff,0,0,0,0
61,892664cc433ffff,0,0,0,0
62,892664cac4fffff,0,0,0,0
63,892664cf023ffff,0,0,0,0
64,892664c16dbffff,0,0,0,0
65,892664c160fffff,0,0,0,0
66,892664ca63bffff,0,0,0,0
67,892664d89dbffff,5,0,0,1
68,892664ca6d3ffff,0,0,1,0
69,892664ca0d3ffff,0,0,0,0
70,89275936d37ffff,0,0,0,0
71,892664c1ab3ffff,1,1,0,0
72,892664cd1b3ffff,0,0,0,0
73,892664ca127ffff,0,0,0,0
74,892664caa13ffff,1,0,1,0
75,892664cd323ffff,0,0,0,0
76,89275934d37ffff,0,0,0,0
77,892664cac03ffff,1,0,0,0
78,892664ca58fffff,0,0,1,0
79,89266456413ffff,0,0,0,0
80,892664c1a63ffff,4,0,0,1
81,892664cf587ffff,0,0,0,0
82,892664ca40bffff,0,0,0,0
83,892664ca067ffff,0,0,0,0
84,892664cb493ffff,0,0,0,0
85,892664c8b37ffff,0,0,0,0
86,892664cf617ffff,0,0,0,0
87,892664ca9abffff,4,0,1,0
88,892759369a7ffff,0,0,0,0
89,892664d8bc3ffff,0,0,0,0
90,892664cae5bffff,0,0,0,0
91,89266452533ffff,0,0,0,0
92,892664ca903ffff,5,0,1,0
93,892664cc363ffff,0,0,0,0
94,892664c8b77ffff,0,0,0,0
